x,y,z
1.101544,2.338428,-0.1298189
1.255965,2.338195,-0.1637931
2.504305,2.337521,-0.08227158
2.493806,2.337867,0.01717567
1.567831,1.193591,0.2158188
1.619684,1.143591,0.200896
1.666729,1.114656,0.2315205
1.721702,1.14349,0.1870466
1.722066,1.193591,0.183597
1.766176,1.109513,0.2420201
1.771501,1.193591,0.1915844
1.772635,1.243591,0.180848
1.821149,1.136691,0.1975462
1.818316,1.143591,0.224385
1.818964,1.193591,0.2182438
1.800188,1.193591,0.2456111
1.8186,1.243591,0.2216897
1.870873,1.111938,0.2027961
1.86755,1.143591,0.2342743
1.873477,1.193591,0.1781333
1.87394,1.243591,0.1737494
1.867661,1.243591,0.2332194
1.925218,1.143591,0.1642737
1.920597,1.11079,0.2080459
1.976857,1.143591,0.1513817
1.97557,1.140978,0.1635721
1.97032,1.109026,0.2132957
1.966691,1.143591,0.2476693
1.97557,1.193077,0.1635721
1.97557,1.194643,0.1635721
2.027438,1.143591,0.1485141
2.025294,1.120567,0.1688219
2.022876,1.143591,0.1917183
2.004694,1.143591,0.2169249
2.026781,1.193591,0.1547334
1.975888,1.193591,0.1636056
2.023487,1.193591,0.1859339
2.02731,1.243591,0.149721
2.023093,1.243591,0.1896635
2.004375,1.243591,0.2168912
2.075017,1.114357,0.1740717
2.129097,1.143591,0.1380643
2.129048,1.193591,0.1385242
2.129439,1.243591,0.1348223
2.121347,1.243591,0.2114691
2.174465,1.10979,0.1845713
2.170916,1.143591,0.2181859
2.169285,1.193591,0.1337465
2.17081,1.193591,0.2191898
2.149419,1.243591,0.1316491
2.178398,1.243591,0.1473212
2.174465,1.228402,0.1845713
2.232165,1.143591,0.1142657
2.229438,1.117616,0.1400975
2.226711,1.143591,0.1659293
2.2319,1.193591,0.1167749
2.226975,1.193591,0.16342
2.209083,1.193591,0.1882263
2.226893,1.243591,0.1642007
2.282235,1.143591,0.1162432
2.279162,1.114325,0.1453473
2.276089,1.143591,0.1744514
2.279162,1.172857,0.1453474
2.25276,1.193591,0.1425599
2.253541,1.243591,0.1426423
2.382359,1.143591,0.1203325
2.378609,1.107879,0.1558469
2.374859,1.143591,0.1913612
2.378609,1.179303,0.1558469
2.414123,1.143591,0.1595965
1.517558,1.39651,0.2157711
1.523677,1.343591,0.2164171
1.619931,1.393591,0.1985541
1.617005,1.417771,0.2262707
1.671478,1.443591,0.186535
1.721706,1.393591,0.1870076
1.823735,1.393591,0.1730565
1.818686,1.393591,0.2208773
1.867685,1.443591,0.2329879
1.91716,1.393591,0.2405938
1.902497,1.443591,0.1558571
1.917127,1.443591,0.2409067
1.966712,1.293591,0.247476
1.973344,1.393591,0.1846574
1.97341,1.443591,0.1840297
1.953457,1.443591,0.2115153
2.022584,1.343591,0.1944843
2.004944,1.343591,0.2169513
2.028527,1.443591,0.1382024
2.12125,1.293591,0.2123892
2.129581,1.393591,0.1334811
2.121145,1.393591,0.2133821
2.12973,1.443591,0.1320654
2.17863,1.293591,0.1451152
2.181363,1.343591,0.1192381
2.139914,1.343591,0.1306456
2.178066,1.343591,0.1504573
2.157201,1.343591,0.1827487
2.146017,1.393591,0.1312899
2.178249,1.393591,0.1487309
2.181106,1.443591,0.1216721
2.174465,1.40839,0.1845713
2.170769,1.443591,0.2195774
2.231788,1.293591,0.1178434
2.227088,1.293591,0.1623515
2.229438,1.315969,0.1400975
2.195324,1.343591,0.1364957
2.226905,1.443591,0.1640873
2.209471,1.443591,0.1882672
2.251692,1.293591,0.1424471
2.282315,1.443591,0.1154792
2.279162,1.413557,0.1453473
2.276008,1.443591,0.1752154
2.332384,1.443591,0.1174547
2.328885,1.410264,0.1505971
2.325386,1.443591,0.1837394
2.362028,1.443591,0.1540962
1.666729,1.471396,0.2315205
1.686985,1.493591,0.1833813
1.716452,1.474311,0.2367703
1.721702,1.505709,0.1870466
1.772512,1.493591,0.1820092
1.769485,1.493591,0.2106822
1.771426,1.512079,0.1922965
1.823635,1.543591,0.1740023
1.795652,1.543591,0.1948543
1.818457,1.543591,0.2230441
1.821149,1.56923,0.1975463
1.873386,1.493591,0.1789979
1.926207,1.493591,0.1549053
1.966653,1.493591,0.2480253
1.97557,1.538755,0.1635721
1.966712,1.543591,0.2474759
1.97032,1.577961,0.2132957
2.028041,1.493591,0.1427987
2.022419,1.493591,0.1960524
2.00505,1.493591,0.2169625
2.023511,1.543591,0.1857039
2.0045,1.543591,0.2169045
2.021264,1.593591,0.1683965
1.98489,1.593591,0.214834
2.016333,1.593591,0.2536989
2.00594,1.643591,0.1667784
2.077294,1.543591,0.1525036
2.072965,1.543591,0.1935062
2.077459,1.593591,0.1509483
2.07198,1.593591,0.2028362
2.129596,1.493591,0.1333348
2.121307,1.493591,0.2118477
2.124741,1.526298,0.1793215
2.094452,1.543591,0.1761236
2.128247,1.593591,0.1461174
2.124741,1.560436,0.1793215
2.12126,1.593591,0.2122933
2.127295,1.643591,0.1551319
2.122006,1.643591,0.2052231
2.155337,1.493591,0.1322739
2.146404,1.543591,0.1313308
2.1394,1.543591,0.1808692
2.170763,1.543591,0.2196356
2.179714,1.565873,0.1348477
2.178859,1.593591,0.1429471
2.178319,1.643591,0.1480683
2.171219,1.643591,0.2153096
2.230837,1.543591,0.1268449
2.2273,1.543591,0.1603433
2.209529,1.543591,0.1882734
2.227749,1.593591,0.1560955
2.209665,1.593591,0.1882877
2.205203,1.643591,0.1878166
2.281337,1.643591,0.1247468
2.245962,1.643591,0.1418421
2.278055,1.643591,0.1558287
2.333673,1.593591,0.1052434
2.325292,1.593591,0.1846276
2.289643,1.643591,0.1464539
2.3625,1.493591,0.1541461
2.362916,1.593591,0.1541901
2.025294,1.652996,0.1688219
2.174465,1.6745,0.1845713
2.242934,1.693591,0.1415224
2.332454,1.693591,0.1167964
2.328885,1.659341,0.1505971
2.325289,1.693591,0.1846578
2.328885,1.727841,0.1505971
2.362946,1.693591,0.1541932
1.97557,2.33876,0.1635721
2.279162,2.338467,0.1453474
2.263412,2.338986,0.2945182
2.362859,2.338946,0.3050177
1.413375,1.143591,0.2501244
1.380301,1.193591,0.2515575
1.411692,1.193591,0.2660678
1.37648,1.243591,0.2511541
1.412469,1.243591,0.2587008
1.466862,1.143591,0.219726
1.462584,1.138536,0.2602449
1.460226,1.143591,0.2825821
1.507058,1.110703,0.3152183
1.505319,1.143591,0.3316951
1.509428,1.193591,0.2927749
1.562032,1.13412,0.2707445
1.558693,1.143591,0.3023688
1.556782,1.158321,0.3204682
1.554697,1.193591,0.3402186
1.558742,1.243591,0.3019067
1.611755,1.109341,0.2759943
1.608159,1.143591,0.310055
1.614779,1.193591,0.2473561
1.592501,1.193591,0.2739614
1.591857,1.193591,0.3241714
1.593194,1.243591,0.2740346
1.663691,1.143591,0.2602958
1.762598,1.143591,0.2759103
1.762633,1.243591,0.2755772
2.051142,1.093591,0.4001994
2.408604,1.043591,0.347953
2.360339,1.043591,0.3550296
1.41152,1.293591,0.2676888
1.465887,1.293591,0.2289609
1.46021,1.293591,0.2827378
1.462584,1.316209,0.2602448
1.509136,1.343591,0.2955356
1.512308,1.373799,0.2654947
1.558594,1.343591,0.3032996
1.565604,1.393591,0.2369069
1.562032,1.376327,0.2707445
1.614363,1.343591,0.2512983
1.614466,1.393591,0.2503174
1.663992,1.343591,0.2574431
1.663809,1.443591,0.2591716
1.762595,1.393591,0.2759348
1.796013,1.693591,0.4356331
2.000302,1.743591,0.4055158
1.898326,2.193591,0.4189875
2.255788,2.143591,0.3667408
2.306837,2.093591,0.3594205
0.9156244,2.3397,0.202497
1.452085,2.339826,0.3596921
1.496559,2.339979,0.4146656
1.596006,2.339939,0.4251624
1.700703,2.339726,0.3859411
1.695459,2.339899,0.4356389
1.745204,2.296106,0.441101
1.800151,2.339686,0.3964375
1.847291,2.293591,0.4261413
1.855124,2.339493,0.351967
1.899604,2.339646,0.4069102
1.954571,2.339453,0.3624666
2.000497,2.293591,0.4036782
2.054021,2.339413,0.3729539
2.158715,2.3392,0.3337421
2.204771,2.293591,0.3737277
2.258166,2.339159,0.3442277
2.30691,2.293591,0.3587521
2.309179,2.327095,0.3583093
2.409044,2.293591,0.3437772
1.183308,1.243595,0.5269478
1.387253,1.093591,0.4975387
0.9788295,1.443591,0.5562706
1.032394,1.393623,0.5485814
1.083035,1.343618,0.5413209
1.235337,1.293607,0.5191548
1.234154,1.393591,0.5189995
1.558993,1.343591,0.4715361
1.745067,2.043591,0.4419517
1.183385,2.243591,0.5236475
1.34986,2.093591,0.4997324
0.8449016,2.340413,0.3961419
0.8396662,2.340585,0.4458005
0.8344148,2.340759,0.4955314
0.8841441,2.340739,0.5007558
0.8291532,2.340932,0.5453078
0.9338492,2.340719,0.5060887
0.9293182,2.299534,0.5607148
1.033298,2.340679,0.5165824
1.081266,2.293591,0.5384558
1.09352,2.340312,0.4223908
1.133279,2.321677,0.5307373
1.183403,2.293591,0.5234804
1.187718,2.340446,0.4826123
1.287169,2.340405,0.4930947
1.337253,2.315924,0.5008495
1.391862,2.340192,0.4538873
1.438746,2.293591,0.4860421
1.491314,2.340152,0.4643669
1.541227,2.307941,0.470969
1.643019,2.293591,0.4560918
0.8254836,1.043591,0.5800698
0.9276894,1.243591,0.5644266
0.8768685,1.943591,0.5695756
2.62087,1.093566,-0.04358959
2.591034,1.193591,-0.07311481
2.616689,1.243567,-0.0752295
2.637795,1.093573,0.07907507
2.630831,1.143573,0.02815613
2.62366,1.193566,-0.02425855
2.642528,1.193581,0.112484
2.630878,1.243571,0.02760386
2.605195,1.243591,0.07921401
2.645337,1.093591,0.1337298
2.645524,1.243591,0.1337497
2.616826,1.343567,-0.0751316
2.61789,1.393573,-0.06786314
2.618752,1.443571,-0.06205943
2.590258,1.443591,0.05604595
2.588003,1.394422,0.0773989
2.631171,1.293579,0.02928123
2.609306,1.293591,0.07964802
2.642311,1.293582,0.1100157
2.631317,1.343582,0.02989537
2.605443,1.343591,0.07924014
2.642419,1.343581,0.1103544
2.643778,1.443579,0.119315
2.645774,1.443591,0.1337761
2.617124,1.493571,-0.07430431
2.588003,1.455338,0.07739884
2.617543,1.543574,-0.07171434
2.631605,1.493586,0.03064311
2.63876,1.492386,0.08250618
2.631608,1.593581,0.02977684
2.617615,1.643582,-0.07208979
2.624904,1.643591,-0.01926088
2.632006,1.693591,0.03176689
2.625029,1.743591,-0.01924765
2.638397,1.893591,0.07629836
2.625591,2.193591,-0.01918823
2.603759,2.337481,-0.07180154
2.598505,2.337654,-0.02205932
2.618676,2.293591,-0.07019663
2.632756,2.293591,0.03184611
2.632483,2.338154,0.1323432
2.526788,1.043591,0.1714917
2.647534,1.04357,0.1501017
2.612878,1.043591,0.3180023
2.612913,1.143591,0.3176683
2.652314,1.043591,0.184745
2.666451,1.089375,0.286793
2.659479,1.143591,0.2357794
2.612984,1.343591,0.3170001
2.66676,1.293591,0.287213
2.659791,1.393591,0.2358125
2.61309,1.643591,0.3159979
2.667133,1.54359,0.2876856
2.653001,1.593591,0.1848177
2.613125,1.743591,0.3156638
2.660166,1.693591,0.2358521
2.666773,1.693591,0.283738
2.613213,1.993591,0.3148286
2.653439,1.943591,0.1848639
2.653501,1.993591,0.1848705
2.667863,2.043589,0.2885149
2.667456,1.893591,0.2868993
2.613266,2.143591,0.3143276
2.52778,2.338367,0.1715963
2.513151,2.324849,0.3284103
2.562251,2.293591,0.321314
2.567004,2.338693,0.2762929
2.613319,2.293591,0.3138264
2.621978,2.3385,0.2318168
2.616729,2.338673,0.2815369
2.653876,2.293591,0.1849102
2.66792,2.305054,0.2865903
2.510936,1.593591,0.3311402
-4.221585,1.24359,-0.1901833
-4.017607,1.243591,-0.2169169
-4.068554,1.343591,-0.2105697
-4.170452,1.543591,-0.1978751
-4.221334,1.843591,-0.1921967
-3.915463,1.743591,-0.2319543
-4.221392,1.94359,-0.1925192
-4.170328,1.893591,-0.1990466
-4.12396,2.043527,-0.2056185
-4.068342,1.943591,-0.2125781
-3.966358,1.993591,-0.2261093
-4.121744,2.093557,-0.206074
-4.138871,2.143512,-0.2039945
-4.119354,2.193589,-0.2067176
-4.159189,2.193527,-0.2014967
-4.163465,2.24353,-0.2011011
-4.068289,2.093591,-0.2130802
-3.915321,2.143591,-0.2332933
-4.142733,2.293513,-0.2039835
-4.069062,2.293579,-0.2136388
-4.072487,2.342223,-0.1733162
-4.022765,2.342203,-0.168064
-3.966252,2.293591,-0.2271135
-3.967788,2.34201,-0.2125483
-3.915269,2.293591,-0.2337954
-4.3458,1.080628,-0.04925206
-4.358603,1.143606,-0.1503844
-4.325273,1.193567,-0.1764286
-4.358132,1.243619,-0.1476292
-4.352011,1.243605,-0.09955138
-4.272576,1.093591,-0.1830051
-4.339436,1.143594,0.000148654
-4.339178,1.193602,0.001705348
-4.328452,1.293523,-0.176342
-4.352049,1.293601,-0.1003286
-4.358002,1.34362,-0.1475513
-4.341587,1.343593,-0.0186218
-4.331717,1.393591,-0.1504041
-4.345464,1.3936,-0.0495466
-4.327835,1.443531,-0.176918
-4.357873,1.44362,-0.1474757
-4.272843,1.293586,-0.1836303
-4.273063,1.393583,-0.1839316
-4.351566,1.49361,-0.09840775
-4.357902,1.543614,-0.1486377
-4.345292,1.513082,-0.04931676
-4.357855,1.593614,-0.1487418
-4.273099,1.493582,-0.184257
-4.321806,1.493591,-0.1493577
-4.328149,1.693525,-0.177702
-4.357628,1.693618,-0.1478963
-4.345238,1.693594,-0.05058956
-4.357788,1.743609,-0.1496196
-4.326691,1.793544,-0.1782233
-4.35772,1.79361,-0.1495544
-4.351281,1.793608,-0.09897804
-4.345206,1.793591,-0.05127215
-4.326346,1.843591,-0.1499314
-4.272552,1.743588,-0.185154
-4.272658,1.793586,-0.185305
-4.338662,1.793593,0.0001232624
-4.32288,1.843591,-0.09919322
-4.344728,1.993636,-0.04938865
-4.274287,1.893564,-0.1854215
-4.307955,1.893591,-0.1478953
-4.344822,1.893601,-0.04919398
-4.27637,1.943535,-0.1853136
-4.304833,1.943591,-0.1475658
-4.344722,1.943603,-0.0488776
-4.338383,1.943597,0.0009127855
-4.288095,1.993591,-0.1457987
-4.310501,1.993591,-0.09788632
-4.338023,1.993609,0.00326848
-4.276633,2.003785,-0.1445882
-4.298562,2.043591,-0.0966258
-4.311448,2.043591,-0.04770839
-4.292382,2.03445,0.004582524
-4.223163,1.893566,-0.1921219
-4.222955,1.993568,-0.1924794
-4.225716,2.04353,-0.1922824
-4.173866,2.043591,-0.1655244
-4.300313,2.093591,-0.04653263
-4.232328,2.093591,-0.1399107
-4.281404,2.093591,0.005741596
-4.251526,2.143591,-0.09165978
-4.252374,2.143591,-0.04147124
-4.242735,2.193591,0.009824038
-4.17468,2.093591,-0.1578233
-4.176516,2.143591,-0.1404343
-4.200872,2.193591,-0.1365895
-4.196887,2.243591,-0.136169
-4.228542,2.243591,-0.08923316
-4.232054,2.243591,-0.03932607
-4.232505,2.243591,0.01090431
-4.177186,2.28709,-0.1340888
-4.187727,2.293591,-0.08492398
-4.204963,2.293591,-0.03646576
-4.198517,2.293591,0.01449275
-4.182425,2.342609,-0.08441126
-4.187683,2.342782,-0.03465164
-4.192928,2.342955,0.01505172
-4.127462,2.309399,-0.1288389
-4.132711,2.310804,-0.07911539
-4.143199,2.342935,0.02027869
-4.088237,2.342742,-0.02414215
-3.944317,2.342855,0.04133105
-4.320035,1.043596,0.1534562
-4.32602,1.243607,0.1045798
-4.326127,1.2936,0.1032692
-4.319702,1.293597,0.1537267
-4.314209,1.343593,0.1964046
-4.319496,1.3936,0.1544127
-4.31269,1.393613,0.2078607
-4.315625,1.493596,0.1838768
-4.332324,1.543599,0.05225074
-4.325815,1.643595,0.1024356
-4.313159,1.693591,0.2013659
-4.319237,1.793591,0.1526866
-4.33192,1.893599,0.05214059
-4.313251,1.893591,0.1987603
-4.325206,1.943605,0.1044068
-4.302064,1.993591,0.05383801
-4.318665,1.943607,0.1557796
-4.312481,1.993592,0.2038682
-4.299548,2.043591,0.1043818
-4.282795,2.093591,0.1564283
-4.263658,2.120073,0.2087266
-4.254505,2.143591,0.1594154
-4.252064,2.143591,0.2099509
-4.24203,2.193591,0.1104546
-4.262643,2.193591,0.2088338
-4.245164,2.243591,0.1101234
-4.231213,2.243591,0.2121522
-4.220088,2.293591,0.06249309
-4.209518,2.293591,0.1641648
-4.198184,2.311529,0.06480575
-4.153711,2.28727,0.1197792
-4.148461,2.299465,0.07005548
-4.16421,2.294329,0.2192265
-4.098737,2.343088,0.07530415
-4.103971,2.343261,0.1249588
-4.109237,2.30405,0.1747526
-4.054264,2.343241,0.1302786
-4.064751,2.343587,0.2296689
