Method,Mean Error,Standard Deviation
k-means,1.5256562308474093,0.2888984419946727
median,1.5240095298093643,0.299844291168674
k-medoid,1.515181318675253,0.3001577408776479
exponential decay,1.546889396004114,0.3080506139798777
