datetime,dst,rssi,src,timestamp
2025-05-27 13:58:36,d8:32:14:45:a0:71,-39.0,04:99:bb:d8:6e:2e,1748350716.3625698
2025-05-27 13:58:36,d8:32:14:45:a0:71,-38.0,04:99:bb:d8:6e:2e,1748350716.3643212
2025-05-27 13:58:36,d8:32:14:45:a0:71,-41.0,04:99:bb:d8:6e:2e,1748350716.5530608
2025-05-27 13:58:37,d8:32:14:45:a0:71,-33.0,04:99:bb:d8:6e:2e,1748350717.3700519
2025-05-27 13:58:37,d8:32:14:45:a0:71,-32.0,04:99:bb:d8:6e:2e,1748350717.3718069
2025-05-27 13:58:37,d8:32:14:45:a0:71,-33.0,04:99:bb:d8:6e:2e,1748350717.372721
2025-05-27 13:58:37,d8:32:14:45:a0:71,-33.0,04:99:bb:d8:6e:2e,1748350717.3736436
2025-05-27 13:58:37,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1748350717.5752077
2025-05-27 13:58:39,d8:32:14:45:a0:71,-41.0,04:99:bb:d8:6e:2e,1748350719.3507507
2025-05-27 13:58:39,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1748350719.3524942
2025-05-27 13:58:39,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1748350719.5219111
2025-05-27 13:58:43,d8:32:14:45:a0:71,-37.0,04:99:bb:d8:6e:2e,1748350723.4134724
2025-05-27 13:58:43,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748350723.4179769
2025-05-27 13:58:43,d8:32:14:45:a0:71,-37.0,04:99:bb:d8:6e:2e,1748350723.6170099
2025-05-27 13:58:45,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748350725.6277232
2025-05-27 13:58:45,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748350725.6297562
2025-05-27 13:58:45,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1748350725.684599
2025-05-27 13:58:45,d8:32:14:45:a0:71,-43.0,04:99:bb:d8:6e:2e,1748350725.9714766
2025-05-27 13:58:45,d8:32:14:45:a0:71,-41.0,04:99:bb:d8:6e:2e,1748350725.9733984
2025-05-27 13:58:45,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1748350725.9751625
2025-05-27 13:58:45,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1748350725.9773598
2025-05-27 13:58:45,d8:32:14:45:a0:71,-41.0,04:99:bb:d8:6e:2e,1748350725.979349
2025-05-27 13:58:45,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1748350725.981241
2025-05-27 13:58:46,d8:32:14:45:a0:71,-44.0,04:99:bb:d8:6e:2e,1748350726.291387
2025-05-27 13:58:46,d8:32:14:45:a0:71,-45.0,04:99:bb:d8:6e:2e,1748350726.2932155
2025-05-27 13:58:46,d8:32:14:45:a0:71,-43.0,04:99:bb:d8:6e:2e,1748350726.295126
