datetime,dst,rssi,src,timestamp
2025-04-27 06:07:01,d8:32:14:45:a0:71,-46.0,04:99:bb:d8:6e:2e,1745730421.4920752
2025-04-27 06:07:01,d8:32:14:45:a0:71,-38.0,04:99:bb:d8:6e:2e,1745730421.494003
2025-04-27 06:07:01,d8:32:14:45:a0:71,-38.0,04:99:bb:d8:6e:2e,1745730421.495023
2025-04-27 06:07:01,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1745730421.5016766
2025-04-27 06:07:01,d8:32:14:45:a0:71,-46.0,04:99:bb:d8:6e:2e,1745730421.6230202
2025-04-27 06:07:01,d8:32:14:45:a0:71,-46.0,04:99:bb:d8:6e:2e,1745730421.7061336
2025-04-27 06:07:01,d8:32:14:45:a0:71,-38.0,04:99:bb:d8:6e:2e,1745730421.7080135
2025-04-27 06:07:01,d8:32:14:45:a0:71,-38.0,04:99:bb:d8:6e:2e,1745730421.7100418
2025-04-27 06:07:01,d8:32:14:45:a0:71,-47.0,04:99:bb:d8:6e:2e,1745730421.7689614
2025-04-27 06:07:02,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1745730422.5253527
2025-04-27 06:07:02,d8:32:14:45:a0:71,-39.0,04:99:bb:d8:6e:2e,1745730422.5334942
2025-04-27 06:07:02,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1745730422.7316127
2025-04-27 06:07:04,d8:32:14:45:a0:71,-37.0,04:99:bb:d8:6e:2e,1745730424.4783504
2025-04-27 06:07:04,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1745730424.4881008
2025-04-27 06:07:04,d8:32:14:45:a0:71,-49.0,04:99:bb:d8:6e:2e,1745730424.685387
2025-04-27 06:07:07,d8:32:14:45:a0:71,-47.0,04:99:bb:d8:6e:2e,1745730427.2613373
2025-04-27 06:07:07,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1745730427.2632105
2025-04-27 06:07:07,d8:32:14:45:a0:71,-49.0,04:99:bb:d8:6e:2e,1745730427.3233287
2025-04-27 06:07:07,d8:32:14:45:a0:71,-44.0,04:99:bb:d8:6e:2e,1745730427.354264
2025-04-27 06:07:07,d8:32:14:45:a0:71,-38.0,04:99:bb:d8:6e:2e,1745730427.3560524
2025-04-27 06:07:07,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1745730427.4142613
2025-04-27 06:07:07,d8:32:14:45:a0:71,-34.0,04:99:bb:d8:6e:2e,1745730427.4161017
2025-04-27 06:07:07,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1745730427.4195108
2025-04-27 06:07:07,d8:32:14:45:a0:71,-47.0,04:99:bb:d8:6e:2e,1745730427.4766364
2025-04-27 06:07:07,d8:32:14:45:a0:71,-44.0,04:99:bb:d8:6e:2e,1745730427.5433164
2025-04-27 06:07:07,d8:32:14:45:a0:71,-43.0,04:99:bb:d8:6e:2e,1745730427.6120682
2025-04-27 06:07:08,d8:32:14:45:a0:71,-43.0,04:99:bb:d8:6e:2e,1745730428.4666603
2025-04-27 06:07:08,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1745730428.4815602
2025-04-27 06:07:08,d8:32:14:45:a0:71,-44.0,04:99:bb:d8:6e:2e,1745730428.677906
2025-04-27 06:07:09,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1745730429.7957294
2025-04-27 06:07:09,d8:32:14:45:a0:71,-46.0,04:99:bb:d8:6e:2e,1745730429.7976186
2025-04-27 06:07:09,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1745730429.8539903
2025-04-27 06:07:10,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1745730430.0006063
2025-04-27 06:07:10,d8:32:14:45:a0:71,-47.0,04:99:bb:d8:6e:2e,1745730430.002531
2025-04-27 06:07:10,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1745730430.063441
2025-04-27 06:07:15,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1745730435.4908867
2025-04-27 06:07:15,d8:32:14:45:a0:71,-33.0,04:99:bb:d8:6e:2e,1745730435.49378
2025-04-27 06:07:15,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1745730435.5528164
2025-04-27 06:07:15,d8:32:14:45:a0:71,-45.0,04:99:bb:d8:6e:2e,1745730435.7363482
2025-04-27 06:07:15,d8:32:14:45:a0:71,-43.0,04:99:bb:d8:6e:2e,1745730435.739099
2025-04-27 06:07:15,d8:32:14:45:a0:71,-43.0,04:99:bb:d8:6e:2e,1745730435.7470164
2025-04-27 06:07:15,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1745730435.7982154
2025-04-27 06:07:16,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1745730436.4533687
2025-04-27 06:07:16,d8:32:14:45:a0:71,-33.0,04:99:bb:d8:6e:2e,1745730436.4584584
2025-04-27 06:07:16,d8:32:14:45:a0:71,-53.0,04:99:bb:d8:6e:2e,1745730436.6579425
2025-04-27 06:07:18,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1745730438.7892585
2025-04-27 06:07:18,d8:32:14:45:a0:71,-41.0,04:99:bb:d8:6e:2e,1745730438.791095
2025-04-27 06:07:18,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1745730438.7938359
2025-04-27 06:07:18,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1745730438.795591
2025-04-27 06:07:18,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1745730438.7973478
2025-04-27 06:07:18,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1745730438.998417
2025-04-27 06:07:19,d8:32:14:45:a0:71,-44.0,04:99:bb:d8:6e:2e,1745730439.524912
2025-04-27 06:07:19,d8:32:14:45:a0:71,-43.0,04:99:bb:d8:6e:2e,1745730439.6263545
2025-04-27 06:07:19,d8:32:14:45:a0:71,-65.0,04:99:bb:d8:6e:2e,1745730439.7287285
2025-04-27 06:07:19,d8:32:14:45:a0:71,-53.0,04:99:bb:d8:6e:2e,1745730439.8310912
2025-04-27 06:07:19,d8:32:14:45:a0:71,-39.0,04:99:bb:d8:6e:2e,1745730439.865863
2025-04-27 06:07:19,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1745730439.868743
2025-04-27 06:07:20,d8:32:14:45:a0:71,-45.0,04:99:bb:d8:6e:2e,1745730440.0715976
2025-04-27 06:07:23,d8:32:14:45:a0:71,-48.0,04:99:bb:d8:6e:2e,1745730443.51752
2025-04-27 06:07:23,d8:32:14:45:a0:71,-41.0,04:99:bb:d8:6e:2e,1745730443.521088
2025-04-27 06:07:23,d8:32:14:45:a0:71,-41.0,04:99:bb:d8:6e:2e,1745730443.5221424
2025-04-27 06:07:23,d8:32:14:45:a0:71,-44.0,04:99:bb:d8:6e:2e,1745730443.5591743
2025-04-27 06:07:23,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1745730443.722267
2025-04-27 06:07:23,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1745730443.7248979
2025-04-27 06:07:23,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1745730443.882689
2025-04-27 06:07:24,d8:32:14:45:a0:71,-46.0,04:99:bb:d8:6e:2e,1745730444.0883691
2025-04-27 06:07:26,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1745730446.0072215
2025-04-27 06:07:26,d8:32:14:45:a0:71,-34.0,04:99:bb:d8:6e:2e,1745730446.0090768
2025-04-27 06:07:26,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1745730446.0705626
2025-04-27 06:07:26,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1745730446.180893
2025-04-27 06:07:26,d8:32:14:45:a0:71,-34.0,04:99:bb:d8:6e:2e,1745730446.1827888
2025-04-27 06:07:26,d8:32:14:45:a0:71,-33.0,04:99:bb:d8:6e:2e,1745730446.184558
2025-04-27 06:07:26,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1745730446.2427528
2025-04-27 06:07:31,d8:32:14:45:a0:71,-34.0,04:99:bb:d8:6e:2e,1745730451.5058174
2025-04-27 06:07:31,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1745730451.7109723
2025-04-27 06:07:31,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1745730451.840878
2025-04-27 06:07:31,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1745730451.8427
2025-04-27 06:07:32,d8:32:14:45:a0:71,-39.0,04:99:bb:d8:6e:2e,1745730452.0188067
2025-04-27 06:07:32,d8:32:14:45:a0:71,-37.0,04:99:bb:d8:6e:2e,1745730452.0207114
2025-04-27 06:07:32,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1745730452.0838172
2025-04-27 06:07:32,d8:32:14:45:a0:71,-43.0,04:99:bb:d8:6e:2e,1745730452.5305529
