Method,Mean Error,Standard Deviation
k-means,1.1854086527284964,0.2991894694848763
median,1.1537992178922394,0.31951471837819373
k-medoid,1.2133230232179666,0.3568755148969045
exponential decay,1.1151359737889992,0.6638111396950037
