Method,Mean Error,Standard Deviation
k-means,1.1787014061821117,0.3081865936465306
median,1.1617598934413929,0.31643144904997017
k-medoid,1.1969043720999337,0.34004630844801004
exponential decay,1.0834435521909354,0.6074001355297515
