x,y,z
-0.3724451,2.367132,-0.8903593
-0.5189486,2.366899,-0.9498297
-1.50154,2.366225,-1.724112
-1.436557,2.366571,-1.80012
-0.5609357,1.222295,-1.439322
-0.6121212,1.172295,-1.456396
-0.6335443,1.14336,-1.508281
-0.7040399,1.172194,-1.502768
-0.7062941,1.222295,-1.500132
-0.7095524,1.138216,-1.573264
-0.7425092,1.222295,-1.534716
-0.7495248,1.272295,-1.52651
-0.7800478,1.165395,-1.567751
-0.7625103,1.172295,-1.588264
-0.7665232,1.222295,-1.58357
-0.7355483,1.222295,-1.595489
-0.7642715,1.272295,-1.586204
-0.8180518,1.140641,-1.600243
-0.7974826,1.172295,-1.624302
-0.8341675,1.222295,-1.581393
-0.8370321,1.272295,-1.578042
-0.798172,1.272295,-1.623495
-0.8846585,1.172295,-1.599279
-0.8560559,1.139493,-1.632734
-0.934517,1.172295,-1.617905
-0.9265515,1.169682,-1.627222
-0.8940599,1.13773,-1.665226
-0.8715988,1.172295,-1.691498
-0.9265515,1.221781,-1.627222
-0.9265515,1.223346,-1.627222
-0.9778254,1.172295,-1.644192
-0.9645555,1.149271,-1.659713
-0.9495939,1.172295,-1.677213
-0.9203318,1.172295,-1.687687
-0.9737614,1.222295,-1.648945
-0.9267943,1.222295,-1.627429
-0.9533737,1.222295,-1.672792
-0.9770367,1.272295,-1.645114
-0.9509367,1.272295,-1.675642
-0.9200881,1.272295,-1.687478
-1.002559,1.14306,-1.692205
-1.067523,1.172295,-1.693163
-1.067222,1.222295,-1.693514
-1.069641,1.272295,-1.690685
-1.019557,1.272295,-1.749267
-1.078568,1.138493,-1.757188
-1.056602,1.172295,-1.782879
-1.103087,1.222295,-1.712368
-1.055946,1.222295,-1.783647
-1.087904,1.272295,-1.699387
-1.102908,1.272295,-1.728717
-1.078568,1.257106,-1.757188
-1.165943,1.172295,-1.731932
-1.149063,1.146319,-1.751675
-1.132183,1.172295,-1.771418
-1.164303,1.222295,-1.733849
-1.133823,1.222295,-1.7695
-1.105026,1.222295,-1.779809
-1.133313,1.272295,-1.770097
-1.206085,1.172295,-1.761922
-1.187067,1.143029,-1.784167
-1.168049,1.172295,-1.806411
-1.187067,1.20156,-1.784167
-1.166888,1.222295,-1.766915
-1.167485,1.272295,-1.767425
-1.286281,1.172295,-1.822006
-1.263075,1.136583,-1.849149
-1.239868,1.172295,-1.876293
-1.263075,1.208007,-1.849149
-1.290219,1.172295,-1.872356
-0.5195323,1.425214,-1.410807
-0.5242095,1.372295,-1.414805
-0.6136515,1.422295,-1.454606
-0.5955404,1.446475,-1.475789
-0.6629398,1.472295,-1.473898
-0.7040654,1.422295,-1.502738
-0.7960504,1.422295,-1.549034
-0.7648023,1.422295,-1.585583
-0.7983233,1.472295,-1.623319
-0.8347877,1.422295,-1.657611
-0.8707017,1.472295,-1.579473
-0.8345833,1.472295,-1.65785
-0.8717251,1.322295,-1.69135
-0.9127734,1.422295,-1.643337
-0.9131836,1.472295,-1.642858
-0.8811717,1.472295,-1.654207
-0.9477866,1.372295,-1.679327
-0.9205233,1.372295,-1.68785
-0.9845635,1.472295,-1.636311
-1.018956,1.322295,-1.74997
-1.070517,1.422295,-1.68966
-1.018307,1.422295,-1.750729
-1.071442,1.472295,-1.688578
-1.10435,1.322295,-1.727031
-1.121259,1.372295,-1.707253
-1.080639,1.372295,-1.693177
-1.100859,1.372295,-1.731114
-1.065373,1.372295,-1.745907
-1.085303,1.422295,-1.697164
-1.101987,1.422295,-1.729795
-1.119668,1.472295,-1.709113
-1.078568,1.437094,-1.757188
-1.055693,1.472295,-1.783943
-1.163605,1.322295,-1.734666
-1.134521,1.322295,-1.768684
-1.149063,1.344672,-1.751675
-1.122989,1.372295,-1.729383
-1.133387,1.472295,-1.770011
-1.105323,1.472295,-1.780062
-1.166072,1.322295,-1.766217
-1.206584,1.472295,-1.761338
-1.187067,1.442261,-1.784167
-1.16755,1.472295,-1.806995
-1.246727,1.472295,-1.791327
-1.225071,1.438968,-1.816658
-1.203414,1.472295,-1.841989
-1.250402,1.472295,-1.838314
-0.6335443,1.5001,-1.508281
-0.6775054,1.522295,-1.480083
-0.6715484,1.503015,-1.540772
-0.7040399,1.534413,-1.502768
-0.7487661,1.522295,-1.527397
-0.7300299,1.522295,-1.549312
-0.7420439,1.540783,-1.53526
-0.7954324,1.572295,-1.549757
-0.7605598,1.572295,-1.55109
-0.7633865,1.572295,-1.587239
-0.7800478,1.597934,-1.567751
-0.8336025,1.522295,-1.582054
-0.8907802,1.522295,-1.592119
-0.8713661,1.522295,-1.69177
-0.9265515,1.567458,-1.627222
-0.8717251,1.572295,-1.69135
-0.8940599,1.606665,-1.665226
-0.9815601,1.522295,-1.639824
-0.9467618,1.522295,-1.680526
-0.920604,1.522295,-1.687919
-0.9535241,1.572295,-1.672616
-0.9201841,1.572295,-1.687561
-0.9614755,1.622295,-1.65708
-0.905196,1.622295,-1.674747
-0.9090933,1.622295,-1.724585
-0.9497632,1.672295,-1.647066
-1.016653,1.572295,-1.67572
-0.9898601,1.572295,-1.707059
-1.017669,1.622295,-1.674531
-0.9837636,1.622295,-1.714189
-1.070613,1.522295,-1.689548
-1.019309,1.522295,-1.749556
-1.040563,1.555002,-1.724696
-1.017413,1.572295,-1.704904
-1.06226,1.622295,-1.699318
-1.040563,1.58914,-1.724696
-1.019018,1.622295,-1.749897
-1.05637,1.672295,-1.706208
-1.023638,1.672295,-1.744493
-1.092427,1.522295,-1.703254
-1.0856,1.572295,-1.697417
-1.051768,1.572295,-1.734275
-1.055655,1.572295,-1.783987
-1.111059,1.594577,-1.719184
-1.105766,1.622295,-1.725374
-1.10242,1.672295,-1.729288
-1.058482,1.672295,-1.780681
-1.157723,1.572295,-1.741546
-1.135834,1.572295,-1.767149
-1.105367,1.572295,-1.7801
-1.138609,1.622295,-1.763902
-1.105471,1.622295,-1.780189
-1.102061,1.672295,-1.777273
-1.200528,1.672295,-1.768422
-1.161692,1.672295,-1.762472
-1.180218,1.672295,-1.792177
-1.254707,1.622295,-1.781994
-1.202834,1.622295,-1.842667
-1.195078,1.672295,-1.791015
-1.250763,1.522295,-1.838623
-1.251081,1.622295,-1.838895
-0.9645555,1.6817,-1.659713
-1.078568,1.703204,-1.757188
-1.159378,1.722295,-1.760494
-1.247158,1.722295,-1.790824
-1.225071,1.688045,-1.816658
-1.202814,1.722295,-1.842691
-1.225071,1.756545,-1.816658
-1.251104,1.722295,-1.838915
-0.9265515,2.367464,-1.627222
-1.187067,2.367171,-1.784166
-1.089593,2.36769,-1.898178
-1.165601,2.36765,-1.963161
-0.4142156,1.172295,-1.380105
-0.3861477,1.222295,-1.362552
-0.4037975,1.222295,-1.39229
-0.3832273,1.272295,-1.360055
-0.4086114,1.272295,-1.38666
-0.4755136,1.172295,-1.38535
-0.4490369,1.16724,-1.416319
-0.4344409,1.172295,-1.433392
-0.4545495,1.139407,-1.486814
-0.4437828,1.172295,-1.499408
-0.4692149,1.222295,-1.469661
-0.5250449,1.162824,-1.481302
-0.5043803,1.172295,-1.505473
-0.4925535,1.187025,-1.519306
