datetime,dst,rssi,src,timestamp
2025-05-27 14:03:45,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1748351025.2321007
2025-05-27 14:03:45,d8:32:14:45:a0:71,-37.0,04:99:bb:d8:6e:2e,1748351025.2463763
2025-05-27 14:03:45,d8:32:14:45:a0:71,-39.0,04:99:bb:d8:6e:2e,1748351025.3311875
2025-05-27 14:03:45,d8:32:14:45:a0:71,-37.0,04:99:bb:d8:6e:2e,1748351025.7538226
2025-05-27 14:03:45,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1748351025.8282838
2025-05-27 14:03:46,d8:32:14:45:a0:71,-37.0,04:99:bb:d8:6e:2e,1748351026.4214027
2025-05-27 14:03:46,d8:32:14:45:a0:71,-31.0,04:99:bb:d8:6e:2e,1748351026.4230738
2025-05-27 14:03:46,d8:32:14:45:a0:71,-30.0,04:99:bb:d8:6e:2e,1748351026.4257975
2025-05-27 14:03:46,d8:32:14:45:a0:71,-32.0,04:99:bb:d8:6e:2e,1748351026.4275997
2025-05-27 14:03:46,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1748351026.4828863
2025-05-27 14:03:46,d8:32:14:45:a0:71,-41.0,04:99:bb:d8:6e:2e,1748351026.5429478
2025-05-27 14:03:46,d8:32:14:45:a0:71,-38.0,04:99:bb:d8:6e:2e,1748351026.6210124
2025-05-27 14:03:46,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1748351026.6227605
2025-05-27 14:03:46,d8:32:14:45:a0:71,-33.0,04:99:bb:d8:6e:2e,1748351026.6254108
2025-05-27 14:03:46,d8:32:14:45:a0:71,-33.0,04:99:bb:d8:6e:2e,1748351026.6271536
2025-05-27 14:03:46,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748351026.6289885
2025-05-27 14:03:46,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748351026.629914
2025-05-27 14:03:46,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748351026.6315627
2025-05-27 14:03:46,d8:32:14:45:a0:71,-34.0,04:99:bb:d8:6e:2e,1748351026.6346211
2025-05-27 14:03:46,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748351026.636548
2025-05-27 14:03:46,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748351026.6383672
2025-05-27 14:03:46,d8:32:14:45:a0:71,-30.0,04:99:bb:d8:6e:2e,1748351026.7776837
2025-05-27 14:03:46,d8:32:14:45:a0:71,-31.0,04:99:bb:d8:6e:2e,1748351026.7794814
2025-05-27 14:03:46,d8:32:14:45:a0:71,-29.0,04:99:bb:d8:6e:2e,1748351026.7813232
2025-05-27 14:03:46,d8:32:14:45:a0:71,-31.0,04:99:bb:d8:6e:2e,1748351026.783065
2025-05-27 14:03:46,d8:32:14:45:a0:71,-30.0,04:99:bb:d8:6e:2e,1748351026.784889
2025-05-27 14:03:46,d8:32:14:45:a0:71,-30.0,04:99:bb:d8:6e:2e,1748351026.7866883
2025-05-27 14:03:46,d8:32:14:45:a0:71,-29.0,04:99:bb:d8:6e:2e,1748351026.7884166
2025-05-27 14:03:46,d8:32:14:45:a0:71,-31.0,04:99:bb:d8:6e:2e,1748351026.7900734
2025-05-27 14:03:46,d8:32:14:45:a0:71,-28.0,04:99:bb:d8:6e:2e,1748351026.7918613
2025-05-27 14:03:46,d8:32:14:45:a0:71,-30.0,04:99:bb:d8:6e:2e,1748351026.7938588
2025-05-27 14:03:46,d8:32:14:45:a0:71,-31.0,04:99:bb:d8:6e:2e,1748351026.7956674
2025-05-27 14:03:46,d8:32:14:45:a0:71,-31.0,04:99:bb:d8:6e:2e,1748351026.797456
2025-05-27 14:03:50,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1748351030.3100173
2025-05-27 14:03:50,d8:32:14:45:a0:71,-33.0,04:99:bb:d8:6e:2e,1748351030.3117301
2025-05-27 14:03:50,d8:32:14:45:a0:71,-34.0,04:99:bb:d8:6e:2e,1748351030.3153682
2025-05-27 14:03:50,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748351030.3172078
