datetime,dst,rssi,src,timestamp
2025-05-25 02:01:45,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1748134905.1751695
2025-05-25 02:01:45,d8:32:14:45:a0:71,-39.0,04:99:bb:d8:6e:2e,1748134905.1771657
2025-05-25 02:01:45,d8:32:14:45:a0:71,-46.0,04:99:bb:d8:6e:2e,1748134905.3658652
2025-05-25 02:01:46,d8:32:14:45:a0:71,-36.0,04:99:bb:d8:6e:2e,1748134906.280468
2025-05-25 02:01:46,d8:32:14:45:a0:71,-35.0,04:99:bb:d8:6e:2e,1748134906.2841384
2025-05-25 02:01:46,d8:32:14:45:a0:71,-39.0,04:99:bb:d8:6e:2e,1748134906.3137808
2025-05-25 02:01:46,d8:32:14:45:a0:71,-39.0,04:99:bb:d8:6e:2e,1748134906.314941
2025-05-25 02:01:46,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1748134906.3167763
2025-05-25 02:01:46,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1748134906.3198094
2025-05-25 02:01:46,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1748134906.3216434
2025-05-25 02:01:46,d8:32:14:45:a0:71,-40.0,04:99:bb:d8:6e:2e,1748134906.326052
2025-05-25 02:01:46,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1748134906.5272572
2025-05-25 02:01:46,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1748134906.6198807
2025-05-25 02:01:46,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1748134906.621787
2025-05-25 02:01:46,d8:32:14:45:a0:71,-42.0,04:99:bb:d8:6e:2e,1748134906.6243927
2025-05-25 02:01:46,d8:32:14:45:a0:71,-41.0,04:99:bb:d8:6e:2e,1748134906.6821852
2025-05-25 02:01:48,d8:32:14:45:a0:71,-43.0,04:99:bb:d8:6e:2e,1748134908.8177369
2025-05-25 02:01:48,d8:32:14:45:a0:71,-37.0,04:99:bb:d8:6e:2e,1748134908.8196795
2025-05-25 02:01:48,d8:32:14:45:a0:71,-37.0,04:99:bb:d8:6e:2e,1748134908.8257647
2025-05-25 02:01:48,d8:32:14:45:a0:71,-38.0,04:99:bb:d8:6e:2e,1748134908.8797185
