x,y,z
-0.1955876,1.660868,-2.119067
-0.2276957,1.681614,-2.2657
-0.2901731,1.70031,-2.317204
-0.3418459,1.699824,-2.394372
-0.3085569,1.665624,-2.401477
-0.2751838,1.699923,-2.408955
-0.3087282,1.734123,-2.401794
-0.3159616,1.6997,-2.435094
-0.186618,2.346875,-2.073395
-0.2995707,2.344993,-2.355775
-0.1530374,2.345731,-2.387833
-0.1744069,2.345185,-2.485521
0.07565364,1.154713,-1.561588
0.08730969,1.204885,-1.530882
0.09119019,1.204736,-1.565245
0.08800569,1.254903,-1.52736
0.0838283,1.254724,-1.563893
0.02995068,1.154408,-1.602772
0.06976619,1.149413,-1.611455
0.09169596,1.1545,-1.616279
0.1079959,1.1214,-1.670856
0.1240992,1.154311,-1.674549
0.08574167,1.204254,-1.666417
0.0484077,1.144492,-1.709124
0.07944927,1.154008,-1.715963
0.09719202,1.168765,-1.719921
0.1165052,1.204063,-1.724328
0.07874534,1.254006,-1.716327
0.0377849,1.11946,-1.757854
0.07115787,1.153759,-1.765331
0.009442031,1.203667,-1.752089
0.04171166,1.203807,-1.739329
0.08956683,1.203856,-1.754539
0.04143766,1.253802,-1.740241
0.006436259,1.153426,-1.802354
-0.009908766,1.152928,-1.901142
-0.0104861,1.252926,-1.901533
0.01725817,1.101549,-2.213917
-0.1448323,1.049651,-2.536472
-0.1229084,1.049907,-2.492896
0.09253249,1.304736,-1.566056
0.03864723,1.30442,-1.60545
0.09147364,1.304498,-1.617006
0.06932178,1.327083,-1.612277
0.08807838,1.354256,-1.667704
0.05849299,1.384419,-1.661388
0.07986346,1.354007,-1.717088
0.01451907,1.403909,-1.703052
0.04780191,1.386695,-1.710244
0.01293936,1.35367,-1.75363
0.01185063,1.403668,-1.75365
0.003133804,1.353419,-1.802667
0.00458172,1.45342,-1.803501
-0.01050991,1.402925,-1.902304
0.1297736,1.702894,-1.985727
0.03669703,1.751808,-2.170349
0.08048794,2.202342,-2.079895
-0.08160263,2.150444,-2.40245
-0.1045097,2.100173,-2.44836
0.1842944,2.353339,-1.079723
0.1644513,2.350832,-1.638383
0.2026111,2.350805,-1.697913
0.1812388,2.350259,-1.795601
0.1110277,2.349468,-1.882604
0.1598457,2.349714,-1.893287
0.1494651,2.305669,-1.942016
0.08965489,2.348922,-1.980292
0.1031077,2.302611,-2.034177
0.03012922,2.348404,-2.01845
0.06825802,2.348377,-2.077978
0.008759797,2.347858,-2.116139
0.03351599,2.301797,-2.172499
-0.01262224,2.347313,-2.213826
-0.08282351,2.346522,-2.30083
-0.05927253,2.300712,-2.356928
-0.1042075,2.345976,-2.398517
-0.1056673,2.30017,-2.449143
-0.1068864,2.333661,-2.451313
-0.1520604,2.299627,-2.541356
0.410616,1.25616,-1.430931
0.3188204,1.105075,-1.614524
0.5023731,1.457239,-1.247035
0.478323,1.406988,-1.295216
0.4556015,1.356714,-1.340758
0.3867016,1.305895,-1.478084
0.3866768,1.405884,-1.477375
0.2394044,1.354159,-1.770477
0.1509472,2.053159,-1.940987
0.4049586,2.256139,-1.43459
0.3301834,2.105257,-1.584353
0.3903568,2.354595,-1.073623
0.439135,2.354841,-1.084303
0.487987,2.355087,-1.09499
0.4772762,2.354814,-1.143831
0.536885,2.355333,-1.105681
0.4666763,2.354542,-1.192684
0.5200503,2.313431,-1.205406
0.4453009,2.353996,-1.290372
0.4510636,2.306681,-1.342571
0.3369332,2.353232,-1.317845
0.4272797,2.33449,-1.389631
0.4046693,2.306138,-1.434785
0.3644064,2.352932,-1.426219
0.3430193,2.352387,-1.523906
0.3346599,2.327653,-1.573768
0.2728226,2.351596,-1.61091
0.2886836,2.304782,-1.665321
0.2514327,2.35105,-1.708597
0.242052,2.318588,-1.757898
0.1958956,2.303697,-1.849749
0.5742773,1.058061,-1.107151
0.5267273,1.257514,-1.200145
0.5458761,1.957772,-1.156774
-0.5834365,1.098167,-2.614781
-0.6023072,1.198318,-2.577626
-0.6125225,1.248158,-2.601538
-0.4723534,1.098199,-2.669495
-0.5186092,1.148188,-2.647073
-0.5662196,1.198169,-2.623983
-0.4423877,1.198211,-2.684977
-0.5193982,1.248183,-2.647406
-0.4623249,1.248384,-2.639294
-0.4228589,1.098228,-2.693874
-0.4232743,1.248225,-2.694752
-0.6127228,1.348157,-2.602161
-0.606285,1.398163,-2.605692
-0.6011737,1.448161,-2.608571
-0.4801064,1.448437,-2.618742
-0.4590079,1.3993,-2.623104
-0.5180237,1.29819,-2.648444
-0.4633333,1.298362,-2.643563
-0.4449117,1.29821,-2.684455
-0.517612,1.348193,-2.649008
-0.4626282,1.348381,-2.639999
-0.4447496,1.348209,-2.684896
-0.4369238,1.448205,-2.689472
-0.4238281,1.448221,-2.695922
-0.612407,1.498158,-2.603399
-0.4591602,1.460215,-2.623385
-0.610206,1.54816,-2.604844
-0.5173683,1.498193,-2.65021
-0.4703984,1.497004,-2.673336
-0.5184416,1.598187,-2.650403
-0.610835,1.648166,-2.605256
-0.5629939,1.648186,-2.62882
-0.5169284,1.698195,-2.65187
-0.5632708,1.748184,-2.629405
-0.4771791,1.8982,-2.672892
-0.564517,2.198175,-2.632039
-0.6079312,2.342128,-2.595407
-0.5590678,2.342374,-2.606095
-0.6109983,2.298162,-2.609866
-0.51859,2.298183,-2.655382
-0.4232377,2.342839,-2.686995
-0.3495429,1.048877,-2.593033
-0.4078882,1.048211,-2.700886
-0.2376209,1.048565,-2.720901
-0.2381991,1.148564,-2.721292
-0.3765159,1.048239,-2.716339
-0.284235,1.094043,-2.762122
-0.3305887,1.148247,-2.739682
-0.2393558,1.34856,-2.722073
-0.2844447,1.298254,-2.763493
-0.3312811,1.398242,-2.741145
-0.2410907,1.648554,-2.723246
-0.284739,1.548249,-2.765152
-0.378039,1.598228,-2.719558
-0.2416689,1.748552,-2.723636
-0.3321119,1.698236,-2.742901
-0.2887472,1.698246,-2.76426
-0.2431147,1.998548,-2.724613
-0.3790083,1.948221,-2.721607
-0.3791468,1.99822,-2.7219
-0.2854325,2.048238,-2.768419
-0.2864622,1.898242,-2.766829
-0.243982,2.148545,-2.725199
-0.3529943,2.34363,-2.599996
-0.1995253,2.330331,-2.635461
-0.2216524,2.298813,-2.679678
-0.2659906,2.343849,-2.670212
-0.2448495,2.298542,-2.725786
-0.3255221,2.34333,-2.70837
-0.2766812,2.343576,-2.719056
-0.3799775,2.298214,-2.723655
-0.2879307,2.309697,-2.769076
-0.1944075,1.599098,-2.630836
1.433014,1.283485,3.924543
1.343372,1.282405,3.739381
1.365198,1.382674,3.78527
1.408852,1.58321,3.877052
1.429524,1.883474,3.922164
1.295666,1.781856,3.644867
1.428985,1.983472,3.921858
1.406826,1.933204,3.875684
1.385604,2.082891,3.833056
1.361724,1.982663,3.782927
1.316624,2.032121,3.690171
1.384349,2.132909,3.830865
1.391594,2.182954,3.846232
1.382734,2.232927,3.828336
1.400241,2.233076,3.864497
1.401839,2.2831,3.8682
1.360856,2.13266,3.782341
1.29335,2.181848,3.643305
1.392446,2.332973,3.8492
1.360069,2.332649,3.782325
1.399295,2.381346,3.772645
1.388613,2.381074,3.723801
1.314887,2.332115,3.688999
1.329073,2.380555,3.685644
1.292482,2.331846,3.642719
1.606312,1.121297,3.998777
1.514207,1.184248,4.042501
1.478864,1.234012,4.018846
1.516424,1.284261,4.040724
1.560124,1.284259,4.019766
1.456268,1.133759,3.971368
1.651034,1.184275,3.97688
1.652305,1.234282,3.975913
1.479697,1.333983,4.021373
1.559274,1.334253,4.019816
1.516207,1.384259,4.040114
1.633397,1.384265,3.983911
1.505092,1.434091,4.015835
1.605144,1.434264,3.997103
1.478581,1.483985,4.020275
1.515988,1.484257,4.039505
1.455259,1.333752,3.970894
1.454792,1.433748,3.970735
1.560444,1.534259,4.017828
1.514644,1.584249,4.039436
1.605009,1.553743,3.996315
1.514406,1.634248,4.039194
1.454245,1.533746,3.970409
1.502713,1.534039,4.005638
1.477311,1.733977,4.019663
1.514886,1.73425,4.038249
1.603332,1.734251,3.99583
1.513176,1.78424,4.038712
1.476106,1.833987,4.017982
1.513092,1.834239,4.038396
1.559063,1.83425,4.016349
1.602425,1.834246,3.995552
1.502724,1.884057,4.008508
1.452595,1.783745,3.969016
1.452361,1.833743,3.968933
1.64914,1.834261,3.973146
1.549785,1.884086,3.989232
1.603561,2.034287,3.993579
1.452513,1.933727,3.970053
1.498736,1.933963,3.990181
1.604026,1.934255,3.99407
1.453147,1.983708,3.971765
1.49794,1.983946,3.986883
1.604169,1.984255,3.993644
1.649426,1.984262,3.971939
1.494218,2.03386,3.97021
1.54675,2.034021,3.976377
1.651423,2.034274,3.970623
1.49173,2.043996,3.958903
1.544059,2.08396,3.964419
1.594545,2.084071,3.961234
1.638188,2.074879,3.926705
1.430046,1.933458,3.923645
1.429391,2.033458,3.923097
1.430323,2.083433,3.925425
1.439381,2.083251,3.867785
1.592027,2.134014,3.950065
1.481985,2.133576,3.914967
1.635681,2.133964,3.915648
1.533702,2.183719,3.917752
1.581601,2.183769,3.902742
1.627121,2.233766,3.877201
1.44682,2.133261,3.865899
1.463777,2.183286,3.861931
1.474975,2.233415,3.883604
1.473994,2.283394,3.879459
1.528513,2.283601,3.894712
1.576984,2.283664,3.882319
1.624798,2.283713,3.866919
1.469651,2.326792,3.859904
1.519617,2.333393,3.854388
1.571038,2.333526,3.855476
1.617369,2.33354,3.833302
1.518311,2.382383,3.848967
1.567191,2.382629,3.838277
1.616015,2.382875,3.827593
1.458911,2.348848,3.810956
1.507752,2.350327,3.800264
1.605307,2.382602,3.778751
1.545832,2.382083,3.740587
1.562623,2.381511,3.583369
1.790669,1.084318,3.910624
1.745668,1.284313,3.930779
1.744332,1.334304,3.931062
1.790195,1.334314,3.909066
1.828843,1.384321,3.890173
1.790531,1.434316,3.908192
1.839112,1.434342,3.884892
1.817025,1.534317,3.894772
1.69724,1.584286,3.951863
1.742568,1.684292,3.92941
1.832346,1.734313,3.885995
1.787811,1.834299,3.90664
1.696133,1.934278,3.949895
1.829402,1.934309,3.88598
1.743496,1.984297,3.926823
1.688087,2.034116,3.920564
1.790191,1.984312,3.904428
1.833757,2.034309,3.883176
1.735138,2.084149,3.902018
