x,y,z
-0.7938595,2.34283,0.05709136
-0.9100169,2.342597,0.164364
-2.028814,2.341923,0.7240908
-2.069946,2.34227,0.6329417
-1.370849,1.197993,-0.005926758
-1.40808,1.147993,0.03312862
-1.46415,1.119058,0.03043738
-1.489159,1.147892,0.09657797
-1.487732,1.197993,0.09973979
-1.555299,1.113914,0.07156956
-1.534439,1.197993,0.1177967
-1.529998,1.247993,0.1276372
-1.580308,1.141093,0.1377101
-1.591408,1.147993,0.1131109
-1.588868,1.197993,0.1187397
-1.586473,1.197993,0.08563733
-1.590294,1.247993,0.1155813
-1.625882,1.11634,0.1582762
-1.638902,1.147993,0.1294246
-1.615681,1.197993,0.180881
-1.613868,1.247993,0.1848991
-1.638465,1.247993,0.1303915
-1.653352,1.147993,0.218962
-1.671457,1.115191,0.1788423
-1.691423,1.147993,0.256156
-1.696465,1.14538,0.2449829
-1.717031,1.113428,0.1994084
-1.731248,1.147993,0.167903
-1.696465,1.197479,0.2449829
-1.696465,1.199045,0.2449829
-1.73364,1.147993,0.2841623
-1.74204,1.124969,0.265549
-1.75151,1.147993,0.2445631
-1.748537,1.147993,0.2136256
-1.736212,1.197993,0.2784619
-1.696756,1.197993,0.2451143
-1.749117,1.197993,0.2498648
-1.734139,1.247993,0.283056
-1.75066,1.247993,0.2464465
-1.748244,1.247993,0.2134936
-1.787614,1.118759,0.2861151
-1.816124,1.147993,0.3444956
-1.816314,1.197993,0.3440742
-1.814783,1.247993,0.3474671
-1.846485,1.247993,0.277216
-1.878763,1.114191,0.3272473
-1.892666,1.147993,0.2964376
-1.848637,1.197993,0.3685079
-1.893082,1.197993,0.2955175
-1.83043,1.247993,0.3602913
-1.863356,1.247993,0.3613891
-1.878763,1.232804,0.3272473
-1.893087,1.147993,0.4170641
-1.903772,1.122018,0.3933879
-1.914456,1.147993,0.3697115
-1.894125,1.197993,0.4147643
-1.913418,1.197993,0.3720114
-1.910493,1.197993,0.3415657
-1.913741,1.247993,0.3712959
-1.937308,1.147993,0.4406295
-1.949346,1.118727,0.413954
-1.961384,1.147993,0.3872784
-1.949346,1.177259,0.413954
-1.925148,1.197993,0.4030342
-1.925864,1.247993,0.4033571
-2.025806,1.147993,0.4876371
-2.040495,1.112281,0.4550861
-2.055184,1.147993,0.4225352
-2.040495,1.183705,0.4550861
