exp_no,k-means,median,k-medoid,exponential decay
exp_1,0.9491996477527916,0.9076884088070717,1.1721197616841803,0.7289523968099955
exp_2,1.2658256070590637,1.1382065052094867,0.9205675469860265,0.785142429947657
exp_3,1.3856166316730103,1.2375405209348287,1.5818219329462986,0.7313384566661306
exp_4,1.3954685338979023,1.3232957368129659,1.6967226604663177,0.8759997144712635
exp_5,1.044161460544235,0.9803466811989608,1.1385172266131234,0.5802953344832545
exp_6,1.2353798608091426,1.1154764296093345,1.3106568245509551,0.7190479730017291
exp_7,1.503027995653411,1.5823190901150288,1.5979977542588415,0.7719737997138699
exp_8,0.6574967222833852,0.7093981753224766,0.8612125942420912,1.2894686825305943
exp_9,0.8653482156093347,0.7324034053076602,0.7485162882842984,1.530663088767665
exp_10,0.6330628520120424,0.5556566329312622,0.7320912762238474,1.4697368303348246
exp_11,0.6893007956228936,0.6745215128655221,0.6968628574877879,0.4664026004957155
exp_12,1.015459478473118,1.030254324815861,1.2362933710126238,0.4288378677616374
exp_13,0.5167489489924512,0.502307434081289,0.6680223851139822,0.8292782716577669
exp_14,1.230277301766818,1.213788394069167,1.2037390680007798,0.6243941146252405
exp_15,0.9920356787274819,0.9374126401183355,0.969753786154537,0.5668684237657773
exp_16,0.695620332442672,0.7188550157886127,0.6061447986532169,0.5538651071386824
exp_17,1.3272213753100177,1.3648581456942106,1.0300306180187282,0.5850065336951515
exp_18,0.9667500282374782,0.9622182357572492,0.943486752731953,2.742338017367266
exp_19,1.3186487917281762,1.3583521937753953,1.3978046983376808,0.4465970407820187
exp_20,1.2498142753595014,1.263657324420883,1.006254797151357,1.8305643004451315
exp_21,0.9214956659970933,1.050394748490634,1.4406494963113985,1.6128190734480028
exp_22,1.2456723811593586,1.2617170647601765,1.2389866494403323,0.6376025312284277
exp_23,1.1088492024886105,1.1351784427741054,0.9762980428117581,0.3371800767991934
exp_24,1.2905681763556986,1.2966180431496188,1.4613763236153345,0.5594903345343433
exp_25,1.2966479372105666,1.3569024371111074,1.245327425969049,0.5146620998163596
exp_26,1.0003756970107573,0.9464693447858282,1.033302628943252,0.36905707509567726
exp_27,1.42889865375574,1.4640907976768875,1.3792062354818035,1.7920460033084922
exp_28,1.4706329763768742,1.3975813264297183,1.2983862334073448,1.773778382546684
exp_29,1.564333291185082,1.4858916294512536,1.4348882534856304,1.8969865465294256
exp_30,1.6471390747171875,1.6682937672832372,1.5689162168410595,1.7868450791705996
exp_31,1.7099746656020618,1.657139949542582,1.8015195288658155,1.9906029751166021
exp_32,1.7824957894374973,1.850812849498831,2.1810507004491226,2.1043379352456792
exp_33,1.3407743274918067,1.3161424413757512,1.2013332123562432,1.4100564270523124
exp_34,1.3175941746677533,1.3195948297800384,1.0610441207568915,1.3584445579640383
exp_35,1.367445671180802,1.337188723479723,1.3099815434888642,1.3672543006067703
exp_36,1.003888403964202,0.9707829606650484,0.9376737844550871,0.9360334959496933
