Experiment,Error
exp_1,1.026554927689407
exp_2,1.2603775977545317
exp_3,1.3392974410545382
exp_4,1.369911679932515
exp_5,1.0165568379259824
exp_6,1.1644638439893191
exp_7,1.410910933402306
exp_8,0.6573544244956239
exp_9,0.9897394857347601
exp_10,0.6334571502149868
exp_11,0.7305216473050145
exp_12,0.9612859306619184
exp_13,0.6396928700967743
exp_14,1.1284252830011643
exp_15,0.9461360189533937
exp_16,0.6714073218465962
exp_17,1.2142177494011333
exp_18,1.1029090772726182
exp_19,1.2534720033094124
exp_20,1.2185632791365895
exp_21,0.9613134515482563
exp_22,1.1837928589004802
exp_23,1.0510412749708284
exp_24,1.2777457661230707
exp_25,1.174218442108049
exp_26,1.1162586384036144
exp_27,1.4915110764130068
exp_28,1.5171101916786895
exp_29,1.5596704166081328
exp_30,1.579947562833477
exp_31,1.6635155035903169
exp_32,1.755678412631245
exp_33,1.3556636280859387
exp_34,1.2891751206412685
exp_35,1.4251000839150896
exp_36,1.0110634463610337
