Experiment,Error
exp_1,0.9848549276030752
exp_2,1.2797720064025013
exp_3,1.3058443553227315
exp_4,1.3599072374026244
exp_5,0.9873720242457852
exp_6,1.1404135270499058
exp_7,1.4120978389098002
exp_8,0.6709843032413196
exp_9,1.0211544907417487
exp_10,0.6720670741207257
exp_11,0.7385968460141854
exp_12,0.9324183779547731
exp_13,0.6504953796451084
exp_14,1.148903440081417
exp_15,0.9482817475722323
exp_16,0.6782359488944759
exp_17,1.194255637913524
exp_18,1.1270320094341604
exp_19,1.2665299356467716
exp_20,1.250276914527778
exp_21,0.9718357837877947
exp_22,1.18184367443554
exp_23,1.0465603027915622
exp_24,1.2609045380207498
exp_25,1.1587142996901691
exp_26,1.0990641686303975
exp_27,1.4936692550659942
exp_28,1.5110035090410179
exp_29,1.5663002476710144
exp_30,1.5698405547889314
exp_31,1.6676783311051904
exp_32,1.7327732618550606
exp_33,1.3773510664403419
exp_34,1.267205084078729
exp_35,1.4362016291837214
exp_36,1.0374116759004808
