Experiment,Error
exp_1,1.0045926310773612
exp_2,1.2825973705901499
exp_3,1.2926251186834814
exp_4,1.3351779607486094
exp_5,0.9961019329570152
exp_6,1.1999078019395166
exp_7,1.4279365593097548
exp_8,0.6633846282686755
exp_9,1.0204579517006958
exp_10,0.6664989187796355
exp_11,0.7358505117768757
exp_12,0.9537526103749533
exp_13,0.6222061014857418
exp_14,1.1619734630439489
exp_15,0.9336662414125895
exp_16,0.7010941434487373
exp_17,1.1880730816044704
exp_18,1.1294829626380645
exp_19,1.2658642782468332
exp_20,1.2513330497714268
exp_21,0.9706804877951359
exp_22,1.183257619582364
exp_23,1.0572486852087446
exp_24,1.2343272387441884
exp_25,1.1626875834434955
exp_26,1.0901713537060995
exp_27,1.4796257214016244
exp_28,1.4991728471847898
exp_29,1.5563420340682512
exp_30,1.5607696770739883
exp_31,1.6669550861817335
exp_32,1.7213846179704015
exp_33,1.3503256678200073
exp_34,1.2781778282543241
exp_35,1.422214264963381
exp_36,1.0094481862228817
