Experiment,Error
exp_1,0.9917596190332262
exp_2,1.2768411297917757
exp_3,1.2793559793656806
exp_4,1.3461984162179548
exp_5,0.9977468512904756
exp_6,1.1875734972073249
exp_7,1.4153226486295922
exp_8,0.6841393319500662
exp_9,1.0132245636959785
exp_10,0.6351872591891463
exp_11,0.7317560495147194
exp_12,0.9727787002483945
exp_13,0.6324829883222206
exp_14,1.1081088065953213
exp_15,0.9444791706244743
exp_16,0.6875029541347591
exp_17,1.210006933766072
exp_18,1.0996877074507727
exp_19,1.265206957719954
exp_20,1.2454474137782992
exp_21,0.9640172496388654
exp_22,1.1764089905130741
exp_23,1.0595849303376224
exp_24,1.2591473088827825
exp_25,1.1721121286192961
exp_26,1.104362107254326
exp_27,1.4792870088898882
exp_28,1.5091403530891228
exp_29,1.5939043609558083
exp_30,1.5818604452515628
exp_31,1.6640678205532862
exp_32,1.7428079665192104
exp_33,1.346356551755336
exp_34,1.2773747105825093
exp_35,1.442850119256414
exp_36,1.0199536701729246
