exp_no,k-means,median,k-medoid,exponential decay
exp_1,1.0426637067208897,0.9705301154734026,1.1954436233790011,0.6776086587875257
exp_2,1.3611462357638053,1.2835649589868272,1.5555273934930751,0.7278441091277716
exp_3,1.3513432048352632,1.1448009776161943,1.1637192634174531,0.7736468007226388
exp_4,1.308413106779047,1.265944222229416,1.448164198580211,0.8942444581502165
exp_5,0.9983380496494534,0.9064725802468154,1.1680995713220652,0.5362728865469688
exp_6,1.2841464866242476,1.1646170685961132,0.6911636589367119,0.7354651412392688
exp_7,1.4507732354179392,1.5343344643487147,1.599699849698858,0.7361872805694821
exp_8,0.6633323975629358,0.6685621900157921,0.7244161472417602,1.2675489991018853
exp_9,0.953035419024732,0.8475557608411691,0.8373360829326912,1.5632756881000565
exp_10,0.6226292788375852,0.3825315539092924,0.6546036829656242,1.5187176901604782
exp_11,0.7394286343945258,0.7728142286777179,0.7064068682447714,0.5282417889302687
exp_12,0.9119999891991792,0.8633210954610714,1.061050171135147,0.456685670471796
exp_13,0.5599851457371683,0.47941475360578684,0.7527252149899275,0.7979251803160599
exp_14,1.2080937394388127,1.133547472667266,1.1806094311312576,0.6017806626413367
exp_15,0.9387730009655648,0.9041474901007951,0.9013549796352442,0.5683805034359278
exp_16,0.6990336846215086,0.7806868460257935,0.5108713334650344,0.5832587712259882
exp_17,1.2782719490123884,1.2561241609638565,1.5114301660946712,0.5405329123487411
exp_18,1.0956147206020608,1.0387951528631174,1.0325560980705137,3.0809337011541906
exp_19,1.2707074693111098,1.2542637822099547,1.216512972969925,0.553859330186424
exp_20,1.27109938305993,1.2582499894444235,1.8456241599352334,2.3349161126442235
exp_21,1.0084109089016677,1.0808918368677545,1.5873239177830405,1.8907973614437406
exp_22,1.2158005519927277,1.2562296521192549,1.2339490345903468,0.5528121694463052
exp_23,1.132439740756023,1.103045579403473,1.102217784419009,0.34000634203279245
exp_24,1.261671404698579,1.2020217273505476,1.3691630302123994,0.464810458276102
exp_25,1.2246845116167207,1.2791846585770097,1.1451219376138493,0.538866882771301
exp_26,0.9990059260443286,0.9483035420440311,0.8502393490468644,0.41615616019479945
exp_27,1.481741172508983,1.5068835498426918,1.6238180785569463,1.828355093888115
exp_28,1.4817024238162713,1.387067808519516,1.3101691561592792,1.7372188472969778
exp_29,1.644896663733998,1.56421182794423,1.4151686436261488,1.9295995934126404
exp_30,1.612346962941365,1.6539413889928898,1.8188653720532166,1.7978003762721673
exp_31,1.6583350563275112,1.6496221725141944,1.5167446673400595,1.914513106754324
exp_32,1.7733642122625974,1.7956330684332362,1.958062233131527,2.052117397758465
exp_33,1.4470322124223696,1.4944996241785655,1.4206590601971323,1.523126119971477
exp_34,1.3644522478326966,1.3841037766252802,1.3988482265268058,1.355723333027756
exp_35,1.3532750786912906,1.314807307736276,1.213708059596478,1.3773823140253372
exp_36,1.0067235861205959,1.00604545868815,0.9582554173545129,0.9482831539704197
