k,Mean Error
4,1.1503255569636492
5,1.131997192294128
6,1.1128943436078647
7,1.1082356053145836
8,1.0976201089129547
9,1.0914609257823553
10,1.0959819810378304
11,1.0976161986908668
12,1.1004019254560236
13,1.1100394112496026
14,1.1156975808513345
15,1.1258060643777517
16,1.1399593827157248
17,1.1314393327881813
18,1.1465088148784792
19,1.1491698021624728
