x,y,z
-0.1535371,2.357091,2.467134
-0.2802597,1.162064,1.524128
-0.2879552,1.212075,1.491948
-0.2962307,1.212064,1.525525
-0.2882844,1.262077,1.488137
-0.2888488,1.262064,1.524904
-0.2402436,1.162047,1.570858
-0.2808367,1.156992,1.574362
-0.3032146,1.162047,1.576297
-0.3263493,1.129142,1.62847
-0.3428552,1.16203,1.629907
-0.3038623,1.212029,1.626556
-0.2722313,1.152542,1.67399
-0.3039131,1.162012,1.67673
-0.3220451,1.176743,1.678301
-0.3418306,1.212012,1.680022
-0.3034472,1.262012,1.676724
-0.2679293,1.127745,1.723796
-0.3020512,1.161995,1.726755
-0.2392362,1.211995,1.721346
-0.269593,1.212002,1.704535
-0.3190089,1.212,1.713452
-0.2695315,1.262001,1.705247
-0.2426389,1.161978,1.771809
-0.2391577,1.161943,1.871881
-0.238821,1.261943,1.871886
-0.3063027,1.11184,2.17878
-0.1870273,1.061719,2.519763
-0.2031542,1.061735,2.473725
-0.2978517,1.312064,1.525699
-0.2494909,1.312047,1.571708
-0.3033661,1.312047,1.576362
-0.2808314,1.334665,1.574423
-0.3066236,1.36203,1.626847
-0.2765269,1.392237,1.624258
-0.3048398,1.362012,1.676879
-0.2383241,1.412012,1.671151
-0.2722241,1.394748,1.674073
-0.2431813,1.361995,1.721739
-0.242197,1.411995,1.721672
-0.2397751,1.361978,1.771631
-0.2415038,1.461978,1.771815
-0.2391749,1.411943,1.871969
-0.3895939,1.711926,1.935252
-0.3211719,1.761857,2.130102
-0.3537785,2.211891,2.032704
-0.2345031,2.16177,2.373688
-0.2176091,2.111753,2.422396
-0.3281311,2.358346,1.026816
-0.38043,2.358282,1.583381
-0.4259418,2.358418,1.637498
-0.4173336,2.358343,1.737127
-0.3589163,2.358095,1.832453
-0.4087042,2.358268,1.836757
-0.4046072,2.314458,1.886618
-0.3503075,2.358021,1.932082
-0.370505,2.311908,1.983996
-0.2961937,2.35781,1.977594
-0.3416743,2.357946,2.031712
-0.2875882,2.357736,2.077223
-0.3193144,2.311857,2.130134
-0.2789701,2.357661,2.176853
-0.2205627,2.357413,2.272179
-0.2510604,2.311788,2.324983
-0.2119428,2.357339,2.371808
-0.2169331,2.311753,2.422409
-0.2160656,2.345256,2.424564
-0.182807,2.311718,2.519831
-0.5957829,1.262136,1.350943
-0.5281277,1.112064,1.54552
-0.6634536,1.462202,1.155842
-0.6457188,1.412216,1.206949
-0.6289613,1.362194,1.255267
-0.5782356,1.312131,1.400557
-0.5783051,1.412116,1.3994
-0.4699298,1.362006,1.709266
-0.4054758,2.061943,1.886559
-0.5924985,2.262133,1.350734
-0.5373634,2.112077,1.509571
-0.5316919,2.359076,0.9942124
-0.58144,2.359248,0.9985172
-0.631262,2.359421,1.00282
-0.6269331,2.359384,1.052635
-0.6811304,2.359595,1.007121
-0.6227155,2.359347,1.102447
-0.6772075,2.318162,1.108374
-0.614104,2.359272,1.202076
-0.6264566,2.312167,1.253313
-0.5101782,2.358889,1.243285
-0.6089861,2.340236,1.302918
-0.5923295,2.312133,1.350738
-0.5513855,2.358987,1.347217
-0.5427623,2.358913,1.446846
-0.5408512,2.334414,1.497483
-0.4843595,2.358665,1.542172
-0.5070121,2.312047,1.594299
-0.4757335,2.358591,1.641802
-0.4727232,2.326363,1.692049
-0.4387586,2.311977,1.789148
-0.7159944,1.062254,1.009683
-0.6811927,1.262219,1.107117
-0.6958924,1.962237,1.058444
0.2377403,1.111635,2.653706
0.2610553,1.211671,2.618834
0.268012,1.261638,2.643636
0.1205334,1.111632,2.693652
