Method,Mean Error,Standard Deviation
k-means,1.148910772302808,0.29665893134560156
median,1.144371168565253,0.3138689805118925
k-medoid,1.1906684175785147,0.3516148662721889
exponential decay,1.1636078544602961,0.2910333441422833
