timestamp,x,y,z
1744763995.972,-1.4818860292434692,1.4763803482055664,0.2894827127456665
1744764001.012,-1.607784390449524,1.286979079246521,0.9617937207221985
1744764006.068,-1.6441785097122192,1.3980050086975098,0.8768826127052307
1744764011.11,-1.0707039833068848,1.4735183715820312,0.1124085932970047
1744764016.139,-0.4443855881690979,1.3574217557907104,-0.12399640679359436
1744764021.181,-0.9999244213104248,1.499419093132019,0.12849406898021698
1744764026.292,-0.521032452583313,1.7684458494186401,0.1988724321126938
1744764031.333,-0.4831288754940033,1.8005847930908203,0.665952205657959
1744764036.431,-0.5537831783294678,1.7714571952819824,0.7029073238372803
1744764041.541,-1.596074104309082,1.393160343170166,0.718200147151947
1744764046.612,-1.9481847286224365,1.4309183359146118,0.5546330809593201
1744764051.665,-2.3005831241607666,1.4741634130477905,0.6427404284477234
1744764056.944,-1.5740283727645874,1.5129525661468506,0.27750107645988464
