datetime,dst,rssi,src,timestamp
2025-05-07 02:10:05,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580205.9159672
2025-05-07 02:10:05,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580205.9181743
2025-05-07 02:10:05,d8:32:14:45:a0:71,-53.0,04:99:bb:d8:6e:2e,1746580205.9190922
2025-05-07 02:10:05,d8:32:14:45:a0:71,-56.0,04:99:bb:d8:6e:2e,1746580205.936597
2025-05-07 02:10:10,d8:32:14:45:a0:71,-61.0,04:99:bb:d8:6e:2e,1746580210.0171697
2025-05-07 02:10:10,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580210.019504
2025-05-07 02:10:10,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580210.0204394
2025-05-07 02:10:10,d8:32:14:45:a0:71,-61.0,04:99:bb:d8:6e:2e,1746580210.0350184
2025-05-07 02:10:18,d8:32:14:45:a0:71,-52.0,04:99:bb:d8:6e:2e,1746580218.3088157
2025-05-07 02:10:18,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580218.3107376
2025-05-07 02:10:18,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580218.311763
2025-05-07 02:10:18,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580218.312776
2025-05-07 02:10:18,d8:32:14:45:a0:71,-53.0,04:99:bb:d8:6e:2e,1746580218.3267052
2025-05-07 02:10:19,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580219.229914
2025-05-07 02:10:19,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580219.23202
2025-05-07 02:10:19,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580219.2330503
2025-05-07 02:10:19,d8:32:14:45:a0:71,-53.0,04:99:bb:d8:6e:2e,1746580219.2340457
2025-05-07 02:10:19,d8:32:14:45:a0:71,-58.0,04:99:bb:d8:6e:2e,1746580219.2478404
2025-05-07 02:10:21,d8:32:14:45:a0:71,-58.0,04:99:bb:d8:6e:2e,1746580221.0906706
2025-05-07 02:10:21,d8:32:14:45:a0:71,-58.0,04:99:bb:d8:6e:2e,1746580221.092584
2025-05-07 02:10:21,d8:32:14:45:a0:71,-58.0,04:99:bb:d8:6e:2e,1746580221.0936096
2025-05-07 02:10:21,d8:32:14:45:a0:71,-58.0,04:99:bb:d8:6e:2e,1746580221.094915
2025-05-07 02:10:21,d8:32:14:45:a0:71,-58.0,04:99:bb:d8:6e:2e,1746580221.096594
