x,y,z
-0.4173901,2.348001,0.9858395
-0.3525499,2.34784,1.130047
-0.1770227,2.346588,2.368671
-0.2765157,2.34661,2.378733
-0.6567279,1.201918,1.511913
-0.631357,1.151954,1.559573
-0.6516203,1.122907,1.61186
-0.5969344,1.151873,1.656601
-0.5936417,1.201985,1.656298
-0.6415417,1.117704,1.711348
-0.5913494,1.201946,1.706321
-0.5807663,1.251981,1.705281
-0.5868506,1.145015,1.756088
-0.6137233,1.151827,1.758809
-0.6077374,1.201847,1.758234
-0.6383663,1.201762,1.745452
-0.6113431,1.251836,1.758628
-0.5817411,1.120232,1.805811
-0.6133336,1.151783,1.809025
-0.5573256,1.201965,1.803391
-0.5530978,1.251979,1.802993
-0.6125946,1.251785,1.80901
-0.5330182,1.151998,1.851157
-0.5767063,1.119054,1.855556
-0.5098372,1.152028,1.899068
-0.5220247,1.149375,1.900299
-0.5716696,1.117261,1.905301
-0.606168,1.151714,1.90881
-0.5221895,1.201473,1.900347
-0.5221945,1.203039,1.900348
-0.4966848,1.152025,1.947993
-0.5169289,1.128935,1.950027
-0.5399085,1.151884,1.952364
-0.5683009,1.151805,1.939722
-0.5030651,1.202004,1.948668
-0.522159,1.201988,1.900665
-0.5342797,1.201902,1.951825
-0.4982087,1.25202,1.948207
-0.5381691,1.25189,1.952248
-0.5686495,1.251805,1.939494
-0.5118781,1.122694,1.999767
-0.4656638,1.152033,2.045366
-0.466282,1.202032,2.045458
-0.4627367,1.252043,2.045129
-0.5394179,1.251794,2.052885
-0.5018014,1.118068,2.099256
-0.535538,1.15176,2.102687
-0.4533758,1.202037,2.083867
-0.5367004,1.201756,2.102835
-0.4555441,1.252049,2.064038
-0.4649578,1.25199,2.095609
-0.5021766,1.23668,2.099364
-0.4212877,1.152086,2.141388
-0.447049,1.126026,2.143978
-0.4729745,1.151918,2.146615
-0.4239563,1.202077,2.141688
-0.4706224,1.201925,2.146407
-0.4985637,1.201849,2.133966
-0.4715616,1.251923,2.146532
-0.4129829,1.152067,2.190803
-0.4420074,1.122706,2.193721
-0.4712171,1.151877,2.196692
-0.4421926,1.181238,2.193775
-0.4449295,1.201988,2.16738
-0.4450087,1.251987,2.168208
-0.3965073,1.152028,2.289647
-0.4319247,1.116201,2.293208
-0.467568,1.151797,2.296834
-0.4321507,1.187624,2.293273
-0.4284442,1.151892,2.328771
-0.6676055,1.404848,1.462879
-0.6668189,1.351926,1.468953
-0.6298049,1.40196,1.559565
-0.6576104,1.42605,1.562391
-0.6076552,1.451987,1.607609
-0.5976866,1.401973,1.656826
-0.5631626,1.401993,1.753845
-0.6110049,1.401837,1.758683
-0.6129957,1.451785,1.80917
-0.6101636,1.401748,1.859108
-0.5303757,1.45203,1.82747
-0.6106348,1.451747,1.859186
-0.6064491,1.301714,1.908928
-0.5439187,1.401918,1.902664
-0.5434489,1.45192,1.902646
-0.5744343,1.451834,1.888737
-0.5433084,1.351874,1.952827
